state,avgPopulation,avgHHIncome,avgPovCt,government,nonProfit,proprietary,totalCount,abbr
Alabama,17691,42631,3258,33,12,106,151,AL
Alaska,21814,67387,2306,2,8,4,14,AK
Arizona,36740,49795,7051,0,20,145,165,AZ
Arkansas,17005,37812,3476,77,49,46,172,AR
California,38197,66331,5529,14,106,1174,1294,CA
Colorado,27857,56996,3387,11,36,138,185,CO
Connecticut,25062,77457,2577,4,31,56,91,CT
Delaware,31988,57722,4142,0,7,18,25,DE
District of Columbia,33677,80878,4909,0,1,27,28,DC
Florida,34881,48874,5629,13,73,1034,1120,FL
Georgia,30727,48240,5643,3,27,76,106,GA
Hawaii,35098,66893,4659,1,7,8,16,HI
Idaho,29412,52981,4023,5,5,36,46,ID
Illinois,31997,69236,3743,21,69,665,755,IL
Indiana,26818,52711,3674,13,42,177,232,IN
Iowa,14200,52396,1712,58,51,54,163,IA
Kansas,15957,51395,2490,23,36,55,114,KS
Kentucky,24326,42909,4244,12,40,52,104,KY
Louisiana,24933,46518,4562,7,11,186,204,LA
Maine,20157,48469,3195,0,13,11,24,ME
Maryland,39636,71638,4438,3,17,33,53,MD
Massachusetts,25649,65454,3407,2,52,197,251,MA
Michigan,26538,57243,4040,10,68,540,618,MI
Minnesota,19648,56437,2743,29,87,83,199,MN
Mississippi,20232,37630,4704,9,7,30,46,MS
Missouri,21750,53909,2865,29,48,90,167,MO
Montana,22256,45423,3333,2,17,8,27,MT
Nebraska,16414,53623,1639,14,29,32,75,NE
Nevada,38981,46357,7148,0,7,133,140,NV
New Hampshire,16390,65565,1476,1,18,14,33,NH
New Jersey,30299,81060,3023,2,31,14,47,NJ
New Mexico,30189,46253,5900,2,21,53,76,NM
New York,33887,67075,5429,16,80,48,144,NY
North Carolina,28271,45424,4872,37,44,96,177,NC
North Dakota,24358,58126,2889,2,15,2,19,ND
Ohio,30053,51652,4539,20,112,648,780,OH
Oklahoma,19761,45390,3266,7,27,230,264,OK
Oregon,25784,49314,4214,5,28,25,58,OR
Pennsylvania,24048,59555,2985,0,108,322,430,PA
Rhode Island,22930,57785,3631,0,7,20,27,RI
South Carolina,28684,46249,4852,8,15,50,73,SC
South Dakota,17114,49771,2524,1,22,10,33,SD
Tennessee,30221,48652,4727,5,24,112,141,TN
Texas,40943,54905,7805,34,117,2429,2580,TX
Utah,34285,60710,4006,1,14,84,99,UT
Vermont,12238,52453,1345,0,11,0,11,VT
Virginia,29305,66933,3387,2,36,199,237,VA
Washington,31308,54509,5043,7,20,36,63,WA
West Virginia,16282,41581,3054,3,21,37,61,WV
Wisconsin,22165,54291,2885,9,47,61,117,WI
Wyoming,17250,59457,1974,7,3,16,26,WY
